country_of_origin,destination_country,destination_city,year,count,gender,age_group
Kenya,UK,Manchester,2017,2659,Male,23-26
Nepal,Norway,Trondheim,2022,1359,Male,18-22
Vietnam,Australia,Sydney,2021,4794,Female,18-22
Nigeria,South Korea,Seoul,2023,3869,Male,18-22
Turkey,Finland,Helsinki,2019,677,Male,18-22
Kenya,Italy,Milan,2022,2608,Male,18-22
Kenya,Germany,Hamburg,2020,3191,Male,18-22
Turkey,UAE,Abu Dhabi,2016,1000,Male,23-26
Nigeria,Germany,Hamburg,2019,4593,Female,18-22
Brazil,South Korea,Daejeon,2015,2107,Male,23-26
Turkey,Norway,Trondheim,2023,1302,Male,18-22
Nigeria,Singapore,Singapore,2015,2818,Female,23-26
China,Canada,Vancouver,2017,6544,Female,18-22
Brazil,Australia,Melbourne,2017,2961,Female,23-26
China,Russia,Kazan,2019,4047,Female,18-22
Turkey,Canada,Toronto,2020,4673,Male,18-22
Kenya,Singapore,Singapore,2019,2816,Male,18-22
Pakistan,Canada,Vancouver,2016,3997,Female,23-26
Pakistan,Australia,Melbourne,2020,3880,Female,27+
Nepal,India,Mumbai,2024,1474,Non-binary,18-22
China,Norway,Bergen,2015,2218,Female,18-22
Bangladesh,UAE,Abu Dhabi,2021,907,Female,18-22
Vietnam,Canada,Vancouver,2019,3599,Female,23-26
Vietnam,Ireland,Dublin,2016,797,Male,18-22
Nigeria,Japan,Kyoto,2018,4136,Male,23-26
Brazil,Canada,Montreal,2021,3924,Male,23-26
Nepal,Singapore,Singapore,2022,2194,Female,23-26
India,Spain,Barcelona,2015,5492,Male,18-22
Nepal,South Africa,Cape Town,2020,1483,Female,18-22
Vietnam,Russia,Moscow,2018,1473,Male,18-22
China,Finland,Tampere,2022,1394,Male,18-22
Nigeria,India,Delhi,2024,2076,Female,18-22
Nepal,UAE,Abu Dhabi,2024,953,Female,18-22
India,Germany,Frankfurt,2019,7352,Female,18-22
China,UK,Birmingham,2022,8340,Female,18-22
China,South Africa,Johannesburg,2023,3232,Female,18-22
Vietnam,Sweden,Uppsala,2017,1385,Male,18-22
Pakistan,India,Bangalore,2015,893,Male,18-22
Nepal,Spain,Barcelona,2024,2873,Male,18-22
Turkey,Japan,Tokyo,2020,2214,Female,18-22
Brazil,Canada,Montreal,2021,3713,Male,27+
China,USA,Boston,2018,11473,Female,23-26
Nepal,Finland,Helsinki,2017,589,Female,23-26
Pakistan,South Korea,Seoul,2024,3188,Non-binary,18-22
Bangladesh,UAE,Abu Dhabi,2015,700,Female,23-26
Nigeria,USA,Chicago,2020,8353,Female,23-26
Turkey,France,Paris,2017,2427,Female,27+
India,Ireland,Cork,2020,2192,Male,18-22
Nepal,Australia,Brisbane,2020,3964,Female,18-22
China,UK,Manchester,2017,7982,Non-binary,27+
Turkey,South Korea,Daejeon,2018,2688,Male,18-22
India,Sweden,Gothenburg,2019,3667,Female,27+
China,South Korea,Busan,2020,5507,Female,18-22
Brazil,Italy,Rome,2018,1536,Non-binary,23-26
Turkey,Spain,Valencia,2019,2445,Male,23-26
Bangladesh,Spain,Valencia,2019,2751,Male,23-26
India,Germany,Hamburg,2018,7780,Female,18-22
China,South Africa,Johannesburg,2016,2410,Female,23-26
Kenya,Netherlands,Rotterdam,2021,1397,Female,18-22
Bangladesh,Italy,Florence,2020,1954,Male,23-26
China,Netherlands,Eindhoven,2019,3386,Female,18-22
Pakistan,South Korea,Daejeon,2022,2849,Female,18-22
Bangladesh,France,Marseille,2016,2233,Female,27+
India,Spain,Barcelona,2024,7112,Male,18-22
Pakistan,UK,London,2022,4653,Non-binary,18-22
China,Ireland,Dublin,2017,1534,Male,23-26
Pakistan,Singapore,Singapore,2018,1770,Female,18-22
Pakistan,Netherlands,Eindhoven,2022,2150,Female,23-26
Nigeria,Japan,Kyoto,2020,3649,Male,18-22
Nepal,Italy,Florence,2019,2554,Male,18-22
Nepal,France,Marseille,2021,4191,Male,18-22
Nigeria,Sweden,Stockholm,2017,2309,Female,23-26
China,Spain,Valencia,2023,4948,Male,18-22
Turkey,South Korea,Daejeon,2022,2524,Male,23-26
Vietnam,Japan,Osaka,2016,2573,Female,18-22
Brazil,Germany,Frankfurt,2019,2516,Female,27+
Turkey,UK,London,2015,3954,Non-binary,23-26
China,USA,Boston,2015,11441,Male,18-22
Vietnam,Russia,Moscow,2020,1638,Female,18-22
Kenya,South Africa,Pretoria,2023,1856,Male,23-26
Vietnam,Sweden,Gothenburg,2018,1428,Female,18-22
Nepal,Canada,Montreal,2015,2302,Female,23-26
Bangladesh,India,Bangalore,2022,1136,Female,18-22
Vietnam,Canada,Montreal,2024,3969,Female,18-22
Nepal,UK,London,2016,3876,Male,18-22
Brazil,Germany,Berlin,2020,1998,Female,18-22
Nepal,Spain,Madrid,2017,2175,Male,23-26
Bangladesh,India,Bangalore,2019,1455,Male,18-22
Nepal,Australia,Melbourne,2020,3882,Male,23-26
Kenya,Australia,Melbourne,2019,4950,Male,18-22
China,Germany,Munich,2024,6708,Female,18-22
India,UAE,Dubai,2023,2856,Female,18-22
Turkey,Germany,Frankfurt,2018,3855,Male,27+
India,Japan,Kyoto,2015,5813,Female,18-22
Nepal,Germany,Hamburg,2015,2785,Female,18-22
Turkey,Canada,Vancouver,2015,2674,Male,18-22
Turkey,South Korea,Seoul,2023,2666,Female,18-22
India,Sweden,Uppsala,2024,4613,Female,18-22
Pakistan,South Korea,Busan,2022,3016,Male,18-22
China,UK,Birmingham,2018,8685,Female,18-22
China,Spain,Barcelona,2023,5355,Male,18-22
Turkey,Japan,Tokyo,2018,2521,Male,27+
Kenya,Russia,St. Petersburg,2024,2402,Male,18-22
Pakistan,Japan,Kyoto,2018,2651,Male,18-22
Kenya,France,Paris,2023,4285,Male,18-22
Nigeria,South Africa,Cape Town,2019,1896,Male,18-22
Kenya,South Africa,Pretoria,2018,1209,Female,18-22
Vietnam,UK,Manchester,2017,3266,Male,23-26
Turkey,Spain,Madrid,2020,2191,Female,23-26
Vietnam,UK,Manchester,2022,3086,Male,18-22
Nigeria,Norway,Bergen,2023,2476,Male,23-26
Pakistan,UK,Manchester,2022,3541,Male,23-26
China,Ireland,Galway,2015,1481,Female,18-22
Pakistan,Germany,Munich,2016,2953,Male,18-22
Brazil,UK,Birmingham,2022,4457,Female,23-26
Brazil,UAE,Dubai,2020,778,Female,18-22
Nepal,Canada,Toronto,2018,3096,Female,23-26
Kenya,Australia,Sydney,2015,2130,Male,23-26
India,South Africa,Cape Town,2019,3732,Male,18-22
Nigeria,USA,Chicago,2016,7627,Male,18-22
Pakistan,Australia,Melbourne,2017,3609,Male,18-22
Bangladesh,India,Bangalore,2023,1419,Male,18-22
Nepal,Netherlands,Rotterdam,2017,1611,Female,23-26
Pakistan,South Africa,Cape Town,2024,1782,Male,23-26
China,Russia,St. Petersburg,2015,3447,Male,23-26
China,UAE,Abu Dhabi,2020,1769,Male,27+
Nepal,France,Lyon,2018,4249,Female,27+
China,Finland,Turku,2016,1080,Female,18-22
Pakistan,Netherlands,Eindhoven,2019,1961,Female,23-26
Pakistan,Singapore,Singapore,2019,2302,Non-binary,18-22
Bangladesh,USA,Chicago,2018,5459,Male,18-22
Pakistan,Italy,Milan,2021,2279,Female,18-22
Turkey,Russia,Kazan,2022,2452,Male,18-22
Vietnam,UK,Birmingham,2017,4005,Female,23-26
Nigeria,UK,Birmingham,2017,4975,Female,18-22
Turkey,Russia,St. Petersburg,2015,1653,Male,18-22
Vietnam,Russia,Moscow,2015,1570,Male,23-26
Bangladesh,Netherlands,Rotterdam,2021,2210,Female,23-26
Brazil,Germany,Munich,2023,4648,Female,23-26
Turkey,UK,Manchester,2019,4084,Non-binary,18-22
Turkey,Germany,Munich,2022,3510,Female,23-26
Turkey,Japan,Tokyo,2021,2147,Male,18-22
Vietnam,South Korea,Seoul,2020,2216,Male,18-22
India,USA,New York,2024,19043,Female,18-22
Brazil,Finland,Turku,2019,668,Female,18-22
Kenya,Italy,Rome,2023,2992,Female,27+
India,Russia,Kazan,2015,3830,Female,18-22
Bangladesh,France,Paris,2019,2977,Non-binary,23-26
Turkey,UAE,Abu Dhabi,2024,1295,Female,18-22
Brazil,Russia,Moscow,2015,1614,Male,18-22
Nigeria,South Africa,Cape Town,2022,2451,Female,23-26
Turkey,Australia,Sydney,2015,2610,Male,23-26
China,Singapore,Singapore,2021,4165,Female,18-22
Nigeria,Sweden,Stockholm,2015,1694,Male,23-26
Nepal,USA,Los Angeles,2023,4713,Male,23-26
Turkey,India,Bangalore,2024,1494,Female,18-22
India,Singapore,Singapore,2024,5567,Female,18-22
China,UAE,Dubai,2021,1924,Male,18-22
Nigeria,Russia,Kazan,2022,2625,Male,18-22
Brazil,Netherlands,Amsterdam,2024,2418,Female,23-26
Nigeria,South Africa,Pretoria,2024,2629,Female,18-22
Bangladesh,Russia,St. Petersburg,2015,2015,Male,23-26
Vietnam,Japan,Tokyo,2017,2424,Female,18-22
China,Italy,Milan,2015,2675,Female,18-22
China,Australia,Sydney,2015,6418,Female,23-26
Nepal,Singapore,Singapore,2017,1921,Female,18-22
China,USA,Chicago,2020,11274,Male,18-22
Bangladesh,Russia,Kazan,2021,1609,Female,18-22
Nigeria,UK,London,2019,6306,Female,18-22
Turkey,UK,Manchester,2021,4459,Female,27+
India,Germany,Hamburg,2023,8655,Female,18-22
Turkey,Russia,St. Petersburg,2016,1686,Male,18-22
Pakistan,Netherlands,Rotterdam,2017,2319,Male,18-22
Brazil,UK,Manchester,2024,3946,Male,18-22
Bangladesh,Ireland,Dublin,2020,877,Male,18-22
Vietnam,Finland,Turku,2021,516,Male,23-26
Nigeria,Spain,Valencia,2024,3868,Female,23-26
Pakistan,Finland,Helsinki,2024,755,Male,18-22
Brazil,Canada,Montreal,2024,5159,Female,18-22
Turkey,Spain,Barcelona,2019,2389,Female,23-26
Kenya,France,Marseille,2018,3027,Male,18-22
Nepal,India,Mumbai,2024,1382,Male,18-22
Nigeria,South Korea,Daejeon,2024,4264,Female,23-26
Nigeria,Italy,Rome,2020,3565,Female,23-26
India,Ireland,Dublin,2024,2758,Male,23-26
Vietnam,Australia,Melbourne,2016,3453,Male,18-22
Pakistan,South Africa,Pretoria,2019,1521,Male,18-22
Brazil,Italy,Florence,2015,1959,Female,23-26
China,India,Mumbai,2016,2217,Male,18-22
Pakistan,South Africa,Pretoria,2021,1733,Female,18-22
Vietnam,Ireland,Cork,2022,849,Female,18-22
Turkey,Netherlands,Rotterdam,2017,1594,Male,23-26
Nepal,Russia,Kazan,2023,2013,Male,18-22
Nigeria,South Africa,Cape Town,2022,2729,Male,18-22
Bangladesh,Ireland,Dublin,2023,816,Female,18-22
India,Norway,Bergen,2017,2923,Female,18-22
Vietnam,Japan,Kyoto,2024,3019,Male,23-26
Turkey,USA,Los Angeles,2020,5491,Male,18-22
Nepal,Finland,Turku,2023,649,Male,23-26
Turkey,South Korea,Busan,2024,3037,Female,18-22
Bangladesh,Canada,Vancouver,2017,3362,Female,18-22
Vietnam,Spain,Valencia,2019,2586,Female,23-26
Nepal,Ireland,Cork,2023,1127,Male,18-22
Turkey,Ireland,Cork,2021,717,Male,18-22
Bangladesh,France,Lyon,2021,2910,Female,23-26
China,UAE,Abu Dhabi,2023,2364,Male,23-26
Kenya,South Africa,Johannesburg,2017,1049,Male,23-26
Vietnam,South Africa,Pretoria,2015,1213,Male,18-22
China,Japan,Kyoto,2015,4680,Female,18-22
Brazil,UAE,Sharjah,2015,1044,Male,18-22
Bangladesh,Russia,Kazan,2018,1991,Female,18-22
Pakistan,UAE,Sharjah,2021,1055,Male,23-26
Nigeria,Sweden,Stockholm,2021,2381,Female,18-22
Bangladesh,UAE,Sharjah,2018,761,Male,18-22
China,UK,Birmingham,2020,9566,Male,18-22
Turkey,India,Bangalore,2024,1412,Female,23-26
Nepal,Sweden,Gothenburg,2018,1374,Male,18-22
Brazil,Spain,Madrid,2019,2278,Female,18-22
China,USA,New York,2015,9101,Female,18-22
Bangladesh,Russia,St. Petersburg,2018,1722,Male,18-22
Brazil,Sweden,Stockholm,2019,2303,Female,18-22
Turkey,Canada,Montreal,2018,3372,Female,18-22
Nepal,Germany,Hamburg,2015,2150,Male,18-22
Vietnam,Canada,Vancouver,2017,3062,Female,23-26
Bangladesh,Canada,Toronto,2015,2580,Male,18-22
Kenya,Japan,Osaka,2020,1727,Female,23-26
Nigeria,Finland,Tampere,2024,1089,Male,18-22
India,Germany,Frankfurt,2022,8132,Female,23-26
Pakistan,Spain,Madrid,2023,2658,Female,18-22
Nepal,South Africa,Cape Town,2022,1860,Male,18-22
Brazil,Singapore,Singapore,2018,1707,Male,18-22
Pakistan,India,Delhi,2017,1198,Female,27+
Brazil,UK,Birmingham,2016,4048,Male,23-26
India,Singapore,Singapore,2015,3886,Female,23-26
Turkey,Germany,Munich,2017,2445,Male,23-26
Brazil,UK,London,2017,2645,Male,23-26
Brazil,UK,Birmingham,2023,6670,Female,18-22
China,Finland,Tampere,2022,1328,Female,18-22
Turkey,Germany,Berlin,2020,3951,Male,27+
Pakistan,Canada,Montreal,2017,3248,Male,23-26
India,South Africa,Cape Town,2019,3510,Female,27+
Vietnam,India,Bangalore,2018,945,Male,18-22
Kenya,Canada,Montreal,2024,5625,Male,23-26
Pakistan,France,Lyon,2019,3502,Male,23-26
Nepal,Canada,Vancouver,2022,3492,Male,18-22
Vietnam,Netherlands,Amsterdam,2020,1665,Female,18-22
Kenya,USA,New York,2016,3483,Male,23-26
Pakistan,Netherlands,Amsterdam,2022,2451,Male,23-26
Bangladesh,Spain,Barcelona,2019,1881,Non-binary,23-26
Turkey,Australia,Sydney,2015,3305,Female,18-22
Brazil,Australia,Brisbane,2019,4914,Female,23-26
India,Finland,Turku,2020,1646,Male,23-26
India,India,Mumbai,2023,3424,Male,23-26
Bangladesh,Norway,Trondheim,2017,1141,Female,18-22
Pakistan,Ireland,Cork,2020,855,Male,18-22
Brazil,Italy,Milan,2024,2076,Female,27+
India,Spain,Madrid,2021,6716,Male,18-22
Brazil,Finland,Turku,2019,647,Female,23-26
Vietnam,UK,London,2015,4160,Male,18-22
Bangladesh,Ireland,Dublin,2017,991,Male,18-22
India,France,Lyon,2022,9341,Female,23-26
Turkey,Russia,St. Petersburg,2021,1619,Female,23-26
Turkey,UAE,Abu Dhabi,2015,1085,Male,18-22
China,Finland,Helsinki,2024,1367,Female,23-26
Pakistan,UAE,Sharjah,2015,640,Female,23-26
Brazil,Canada,Toronto,2020,2476,Female,18-22
China,India,Bangalore,2024,2734,Female,18-22
Nigeria,Canada,Vancouver,2018,4570,Female,27+
Turkey,Singapore,Singapore,2017,1486,Male,18-22
Vietnam,India,Delhi,2023,1348,Male,23-26
Nepal,South Korea,Busan,2017,2284,Male,18-22
China,South Africa,Pretoria,2020,2756,Male,18-22
Brazil,Italy,Florence,2021,1963,Male,23-26
Pakistan,Russia,Moscow,2023,1768,Female,18-22
Nigeria,South Korea,Busan,2023,4775,Male,27+
Kenya,Canada,Vancouver,2016,3531,Male,18-22
Nepal,Singapore,Singapore,2017,1687,Female,18-22
Nigeria,UAE,Sharjah,2016,1273,Male,18-22
Vietnam,Germany,Berlin,2018,2948,Male,18-22
Turkey,India,Bangalore,2019,1131,Female,18-22
Nigeria,Finland,Turku,2021,913,Male,18-22
Pakistan,Russia,Moscow,2022,1960,Male,18-22
Nepal,UK,London,2016,3959,Female,23-26
China,Finland,Tampere,2024,1383,Male,18-22
Pakistan,Norway,Trondheim,2021,1386,Female,18-22
Brazil,Italy,Florence,2024,2883,Female,23-26
Kenya,USA,New York,2022,7360,Male,18-22
China,Japan,Kyoto,2024,6226,Female,18-22
India,Australia,Sydney,2015,8043,Male,18-22
Kenya,UK,London,2016,3037,Non-binary,23-26
Pakistan,Germany,Frankfurt,2015,2452,Female,18-22
Bangladesh,South Africa,Cape Town,2018,1277,Female,18-22
India,Japan,Tokyo,2022,6932,Non-binary,23-26
Nigeria,Germany,Berlin,2016,4535,Male,18-22
Pakistan,Germany,Hamburg,2023,3006,Female,18-22
Turkey,Ireland,Galway,2019,692,Female,18-22
Pakistan,Italy,Florence,2020,2337,Male,18-22
Pakistan,Canada,Toronto,2017,3577,Male,23-26
Kenya,Australia,Sydney,2021,4455,Female,27+
Turkey,Japan,Kyoto,2015,2086,Female,27+
Nigeria,Japan,Kyoto,2021,4685,Male,23-26
China,France,Lyon,2016,6526,Female,18-22
China,Singapore,Singapore,2023,4105,Female,18-22
Nigeria,Japan,Kyoto,2023,5063,Male,18-22
Turkey,Australia,Melbourne,2018,4230,Female,23-26
Nigeria,Norway,Bergen,2020,2138,Male,27+
Brazil,Netherlands,Rotterdam,2021,1775,Female,18-22
Brazil,USA,Boston,2019,5485,Male,18-22
Pakistan,Spain,Valencia,2021,2883,Male,18-22
Turkey,Finland,Helsinki,2021,598,Male,23-26
Turkey,Finland,Helsinki,2019,561,Female,23-26
Nepal,Norway,Bergen,2023,1425,Male,18-22
China,South Africa,Johannesburg,2022,3400,Female,23-26
Pakistan,Norway,Trondheim,2022,1583,Male,23-26
China,Singapore,Singapore,2021,4403,Male,23-26
Brazil,Norway,Bergen,2023,1706,Female,23-26
Nepal,India,Mumbai,2019,1091,Female,27+
Nigeria,Sweden,Gothenburg,2024,2640,Female,18-22
China,Italy,Rome,2018,3931,Male,18-22
Nigeria,UK,Birmingham,2016,5721,Female,23-26
Pakistan,Ireland,Galway,2021,850,Male,23-26
China,India,Bangalore,2018,2165,Female,18-22
Vietnam,France,Marseille,2024,4627,Male,23-26
Turkey,Germany,Munich,2021,3286,Male,23-26
Pakistan,India,Mumbai,2023,1591,Male,18-22
Brazil,Japan,Osaka,2015,2139,Female,18-22
Pakistan,Japan,Tokyo,2022,3664,Non-binary,18-22
Nigeria,Canada,Montreal,2017,4250,Male,23-26
China,USA,Los Angeles,2020,13296,Male,18-22
Nepal,Japan,Kyoto,2024,2480,Male,18-22
Brazil,Australia,Sydney,2023,3460,Female,18-22
China,UK,Birmingham,2021,9913,Female,23-26
Kenya,Canada,Montreal,2022,4514,Male,23-26
Nepal,Canada,Montreal,2016,2785,Female,27+
Turkey,India,Bangalore,2020,1274,Female,27+
Nepal,Sweden,Stockholm,2024,1877,Male,18-22
India,Japan,Kyoto,2017,6322,Male,23-26
Kenya,Sweden,Gothenburg,2021,1810,Female,23-26
Nigeria,USA,New York,2015,8938,Female,18-22
Pakistan,South Africa,Pretoria,2022,2203,Male,18-22
Nepal,Italy,Florence,2022,2817,Female,18-22
India,Singapore,Singapore,2020,5405,Male,18-22
Vietnam,UAE,Sharjah,2024,736,Male,18-22
Brazil,Italy,Rome,2021,2326,Female,23-26
Brazil,Spain,Madrid,2015,1774,Female,18-22
India,Singapore,Singapore,2020,4641,Male,27+
Bangladesh,France,Marseille,2015,2434,Female,23-26
Kenya,UAE,Abu Dhabi,2019,772,Male,18-22
Turkey,Russia,Kazan,2018,1877,Male,18-22
Nepal,Sweden,Gothenburg,2019,1705,Female,18-22
Brazil,France,Marseille,2023,2881,Male,18-22
Kenya,Spain,Madrid,2016,2610,Female,23-26
Bangladesh,Ireland,Cork,2021,845,Male,18-22
Kenya,Germany,Frankfurt,2018,3089,Female,18-22
Nigeria,Ireland,Galway,2019,1180,Male,23-26
Kenya,India,Delhi,2021,795,Female,23-26
Pakistan,Canada,Toronto,2024,4075,Male,23-26
Vietnam,UK,Manchester,2016,2741,Female,18-22
Nepal,Netherlands,Rotterdam,2020,2109,Female,23-26
Pakistan,Russia,St. Petersburg,2021,2107,Male,18-22
Nigeria,Canada,Vancouver,2018,5389,Male,23-26
Vietnam,Australia,Melbourne,2023,4779,Male,23-26
Bangladesh,Finland,Helsinki,2015,346,Male,18-22
China,Norway,Bergen,2018,2588,Female,23-26
Pakistan,Netherlands,Eindhoven,2022,2617,Female,18-22
Turkey,South Korea,Busan,2021,2667,Male,18-22
